n,labels
"(:Info:Turnout {roster2018: 12450,kommun: Alvesta,roster2022: 12351,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 14097,kommun: Alvesta,roster2022: 14578,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 726,kommun: Aneby,roster2022: 749,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 573,kommun: Aneby,roster2022: 414,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 152,kommun: Aneby,roster2022: 154,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 652,kommun: Aneby,roster2022: 511,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1073,kommun: Aneby,roster2022: 1115,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 180,kommun: Aneby,roster2022: 119,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 105,kommun: Aneby,roster2022: 122,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 947,kommun: Aneby,roster2022: 1203,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 77,kommun: Aneby,roster2022: 78,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 4485,kommun: Aneby,roster2022: 4465,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 0,kommun: Aneby,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 38,kommun: Aneby,roster2022: 40,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Aneby,roster2022: 5,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
