n,labels
"(:Info:Valid {roster2018: 3952,kommun: Grästorp,roster2022: 3943,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Grästorp,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 40,kommun: Grästorp,roster2022: 52,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Grästorp,roster2022: 5,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 3993,kommun: Grästorp,roster2022: 4001,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 4492,kommun: Grästorp,roster2022: 4530,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 470,kommun: Gullspång,roster2022: 469,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 291,kommun: Gullspång,roster2022: 195,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 84,kommun: Gullspång,roster2022: 74,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 184,kommun: Gullspång,roster2022: 164,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1202,kommun: Gullspång,roster2022: 1139,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 200,kommun: Gullspång,roster2022: 153,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 75,kommun: Gullspång,roster2022: 74,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 809,kommun: Gullspång,roster2022: 971,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 74,kommun: Gullspång,roster2022: 60,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 3389,kommun: Gullspång,roster2022: 3299,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Gullspång,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 46,kommun: Gullspång,roster2022: 53,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Gullspång,roster2022: 6,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 3436,kommun: Gullspång,roster2022: 3359,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 3990,kommun: Gullspång,roster2022: 4029,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1402,kommun: Gällivare,roster2022: 1421,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 422,kommun: Gällivare,roster2022: 303,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 233,kommun: Gällivare,roster2022: 151,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 378,kommun: Gällivare,roster2022: 474,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 4809,kommun: Gällivare,roster2022: 4219,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 1474,kommun: Gällivare,roster2022: 894,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 283,kommun: Gällivare,roster2022: 394,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 2341,kommun: Gällivare,roster2022: 2978,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 122,kommun: Gällivare,roster2022: 125,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 11464,kommun: Gällivare,roster2022: 10959,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 7,kommun: Gällivare,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 110,kommun: Gällivare,roster2022: 91,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 6,kommun: Gällivare,roster2022: 5,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 11587,kommun: Gällivare,roster2022: 11056,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 14081,kommun: Gällivare,roster2022: 13652,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 12033,kommun: Gävle,roster2022: 12560,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 4189,kommun: Gävle,roster2022: 3287,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 3551,kommun: Gävle,roster2022: 2464,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 3257,kommun: Gävle,roster2022: 2806,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 21258,kommun: Gävle,roster2022: 21861,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 5609,kommun: Gävle,roster2022: 4251,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 2573,kommun: Gävle,roster2022: 2627,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 12893,kommun: Gävle,roster2022: 14794,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 878,kommun: Gävle,roster2022: 908,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 66241,kommun: Gävle,roster2022: 65558,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 28,kommun: Gävle,roster2022: 9,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 586,kommun: Gävle,roster2022: 601,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 48,kommun: Gävle,roster2022: 68,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 66903,kommun: Gävle,roster2022: 66236,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 76433,kommun: Gävle,roster2022: 78868,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 69432,kommun: Göteborg,roster2022: 64157,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 24893,kommun: Göteborg,roster2022: 20343,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 25337,kommun: Göteborg,roster2022: 20317,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 19283,kommun: Göteborg,roster2022: 15170,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 83097,kommun: Göteborg,roster2022: 95980,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 48946,kommun: Göteborg,roster2022: 44602,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 24286,kommun: Göteborg,roster2022: 27485,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 47040,kommun: Göteborg,roster2022: 50889,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 7331,kommun: Göteborg,roster2022: 8160,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 349645,kommun: Göteborg,roster2022: 347103,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 183,kommun: Göteborg,roster2022: 143,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2636,kommun: Göteborg,roster2022: 3032,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 196,kommun: Göteborg,roster2022: 238,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 352660,kommun: Göteborg,roster2022: 350516,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 418425,kommun: Göteborg,roster2022: 434273,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1366,kommun: Götene,roster2022: 1441,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 895,kommun: Götene,roster2022: 671,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 353,kommun: Götene,roster2022: 285,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 838,kommun: Götene,roster2022: 722,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 2755,kommun: Götene,roster2022: 2884,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 555,kommun: Götene,roster2022: 394,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 318,kommun: Götene,roster2022: 351,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1675,kommun: Götene,roster2022: 2096,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 105,kommun: Götene,roster2022: 107,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 8860,kommun: Götene,roster2022: 8951,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Götene,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 105,kommun: Götene,roster2022: 97,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 8,kommun: Götene,roster2022: 3,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 8974,kommun: Götene,roster2022: 9053,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 10064,kommun: Götene,roster2022: 10275,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1528,kommun: Habo,roster2022: 1690,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 679,kommun: Habo,roster2022: 580,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 327,kommun: Habo,roster2022: 316,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 1172,kommun: Habo,roster2022: 920,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1839,kommun: Habo,roster2022: 2173,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 303,kommun: Habo,roster2022: 229,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 260,kommun: Habo,roster2022: 269,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1550,kommun: Habo,roster2022: 1965,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 88,kommun: Habo,roster2022: 114,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 7746,kommun: Habo,roster2022: 8256,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 5,kommun: Habo,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 69,kommun: Habo,roster2022: 102,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 5,kommun: Habo,roster2022: 3,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 7825,kommun: Habo,roster2022: 8362,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 8382,kommun: Habo,roster2022: 9141,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 705,kommun: Hagfors,roster2022: 678,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 598,kommun: Hagfors,roster2022: 307,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 177,kommun: Hagfors,roster2022: 152,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 343,kommun: Hagfors,roster2022: 360,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 3610,kommun: Hagfors,roster2022: 3113,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 629,kommun: Hagfors,roster2022: 396,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 102,kommun: Hagfors,roster2022: 127,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1369,kommun: Hagfors,roster2022: 1993,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 74,kommun: Hagfors,roster2022: 84,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 7607,kommun: Hagfors,roster2022: 7210,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 0,kommun: Hagfors,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 72,kommun: Hagfors,roster2022: 93,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Hagfors,roster2022: 3,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 7681,kommun: Hagfors,roster2022: 7307,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 9134,kommun: Hagfors,roster2022: 8852,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1410,kommun: Hallsberg,roster2022: 1480,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 808,kommun: Hallsberg,roster2022: 613,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 325,kommun: Hallsberg,roster2022: 292,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 600,kommun: Hallsberg,roster2022: 465,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 3763,kommun: Hallsberg,roster2022: 3575,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 669,kommun: Hallsberg,roster2022: 480,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 264,kommun: Hallsberg,roster2022: 296,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 2214,kommun: Hallsberg,roster2022: 2744,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 147,kommun: Hallsberg,roster2022: 128,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 10200,kommun: Hallsberg,roster2022: 10073,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 4,kommun: Hallsberg,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 100,kommun: Hallsberg,roster2022: 125,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 5,kommun: Hallsberg,roster2022: 7,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 10309,kommun: Hallsberg,roster2022: 10207,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 11634,kommun: Hallsberg,roster2022: 11930,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 1478,kommun: Hallstahammar,roster2022: 1498,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 532,kommun: Hallstahammar,roster2022: 437,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 402,kommun: Hallstahammar,roster2022: 293,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 511,kommun: Hallstahammar,roster2022: 492,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 3638,kommun: Hallstahammar,roster2022: 3531,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 802,kommun: Hallstahammar,roster2022: 601,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 224,kommun: Hallstahammar,roster2022: 264,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 2340,kommun: Hallstahammar,roster2022: 2852,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 136,kommun: Hallstahammar,roster2022: 157,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 10063,kommun: Hallstahammar,roster2022: 10125,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 6,kommun: Hallstahammar,roster2022: 3,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 102,kommun: Hallstahammar,roster2022: 112,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Hallstahammar,roster2022: 7,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 10173,kommun: Hallstahammar,roster2022: 10247,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 11855,kommun: Hallstahammar,roster2022: 12314,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 13953,kommun: Halmstad,roster2022: 13611,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 5398,kommun: Halmstad,roster2022: 3996,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 3475,kommun: Halmstad,roster2022: 2883,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 4083,kommun: Halmstad,roster2022: 3619,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 19929,kommun: Halmstad,roster2022: 20708,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 3613,kommun: Halmstad,roster2022: 3191,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 2420,kommun: Halmstad,roster2022: 2366,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 11598,kommun: Halmstad,roster2022: 14214,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 1029,kommun: Halmstad,roster2022: 960,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 65498,kommun: Halmstad,roster2022: 65548,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 22,kommun: Halmstad,roster2022: 10,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 575,kommun: Halmstad,roster2022: 723,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 23,kommun: Halmstad,roster2022: 70,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 66118,kommun: Halmstad,roster2022: 66351,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 75693,kommun: Halmstad,roster2022: 79133,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 2182,kommun: Hammarö,roster2022: 2269,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 959,kommun: Hammarö,roster2022: 758,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 720,kommun: Hammarö,roster2022: 598,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 717,kommun: Hammarö,roster2022: 579,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 3728,kommun: Hammarö,roster2022: 4114,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 626,kommun: Hammarö,roster2022: 372,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 449,kommun: Hammarö,roster2022: 483,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1437,kommun: Hammarö,roster2022: 1776,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 98,kommun: Hammarö,roster2022: 103,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 10916,kommun: Hammarö,roster2022: 11052,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Hammarö,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 68,kommun: Hammarö,roster2022: 96,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 0,kommun: Hammarö,roster2022: 9,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 10985,kommun: Hammarö,roster2022: 11158,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 12072,kommun: Hammarö,roster2022: 12337,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 11583,kommun: Haninge,roster2022: 10525,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 3058,kommun: Haninge,roster2022: 2704,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 2579,kommun: Haninge,roster2022: 1954,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 2704,kommun: Haninge,roster2022: 2113,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 13776,kommun: Haninge,roster2022: 15045,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 4036,kommun: Haninge,roster2022: 3695,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Partiresultat:Miljöpartiet {roster2018: 1875,kommun: Haninge,roster2022: 1869,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 10042,kommun: Haninge,roster2022: 11488,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Partiresultat:Others {roster2018: 831,kommun: Haninge,roster2022: 1096,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 50484,kommun: Haninge,roster2022: 50489,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 28,kommun: Haninge,roster2022: 15,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 400,kommun: Haninge,roster2022: 514,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 28,kommun: Haninge,roster2022: 62,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 50940,kommun: Haninge,roster2022: 51080,parti: Valdeltagande})","[Info, Turnout]"
"(:Info:EligibleToVote {roster2018: 59890,kommun: Haninge,roster2022: 64640,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Partiresultat:Moderaterna {roster2018: 563,kommun: Haparanda,roster2022: 571,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Partiresultat:Centerpartiet {roster2018: 423,kommun: Haparanda,roster2022: 260,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Partiresultat:Liberalerna {roster2018: 82,kommun: Haparanda,roster2022: 73,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Partiresultat:Kristdemokraterna {roster2018: 234,kommun: Haparanda,roster2022: 217,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1615,kommun: Haparanda,roster2022: 1514,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
