1760 Storfors,775,938
1761 Hammarö,3078,4790
1762 Munkfors,443,744
1763 Forshaga,1246,1740
1764 Grums,1023,1397
1765 Årjäng,1321,1418
1766 Sunne,1348,1731
1780 Karlstad,2646,3842
1781 Kristinehamn,1397,1783
1782 Filipstad,600,846
1783 Hagfors,617,913
1784 Arvika,1536,1933
1785 Säffle,970,1292
1814 Lekeberg,1609,2864
1860 Laxå,975,1122
1861 Hallsberg,1372,1922
1862 Degerfors,826,1076
1863 Hällefors,521,689
1864 Ljusnarsberg,657,781
1880 Örebro,3123,4215
1881 Kumla,2335,2884
1882 Askersund,1290,1838
1883 Karlskoga,1513,2017
1884 Nora,1643,2042
1885 Lindesberg,1184,1639
1904 Skinnskatteberg,605,1160
1907 Surahammar,1524,1917
1960 Kungsör,1751,2339
1961 Hallstahammar,2129,2797
1962 Norberg,1017,1384
1980 Västerås,3507,4663
1981 Sala,2154,2537
1982 Fagersta,1160,1668
1983 Köping,2125,2536
1984 Arboga,1633,2443
2021 Vansbro,658,1032
2023 Malung-Sälen,1263,1903
2026 Gagnef,1273,1854
2029 Leksand,2264,3000
2031 Rättvik,1988,2285
2034 Orsa,1178,1618
2039 Älvdalen,1081,1495
2061 Smedjebacken,1283,1591
2062 Mora,1762,2429
2080 Falun,2665,3978
2081 Borlänge,2311,2852
2082 Säter,1694,2459
2083 Hedemora,1188,1677
2084 Avesta,1393,1903
2085 Ludvika,1394,1570
2101 Ockelbo,928,1409
2104 Hofors,952,1492
2121 Ovanåker,945,1098
2132 Nordanstig,835,1184
2161 Ljusdal,1172,1556
2180 Gävle,2899,3646
2181 Sandviken,1625,2186
2182 Söderhamn,1157,1633
2183 Bollnäs,1149,1673
2184 Hudiksvall,1578,2289
2260 Ånge,421,719
2262 Timrå,1451,1895
2280 Härnösand,1231,1512
2281 Sundsvall,2378,2890
2282 Kramfors,540,780
2283 Sollefteå,539,750
2284 Örnsköldsvik,1279,1694
2303 Ragunda,464,600
2305 Bräcke,629,787
2309 Krokom,1813,2769
2313 Strömsund,489,675
2321 Åre,2400,4093
2326 Berg,805,1443
2361 Härjedalen,927,2063
2380 Östersund,2733,3684
2401 Nordmaling,958,1417
2403 Bjurholm,476,798
2404 Vindeln,1005,1190
2409 Robertsfors,884,1495
2417 Norsjö,410,597
2418 Malå,533,494
2421 Storuman,656,901
2422 Sorsele,632,738
2425 Dorotea,450,585
2460 Vännäs,1720,2137
2462 Vilhelmina,525,713
2463 Åsele,352,484
2480 Umeå,3495,4394
2481 Lycksele,1094,1303
2482 Skellefteå,1685,2793
2505 Arvidsjaur,994,1143
2506 Arjeplog,918,1156
2510 Jokkmokk,652,898
2513 Överkalix,444,625
2514 Kalix,789,1040
2518 Övertorneå,500,524
2521 Pajala,668,754
2523 Gällivare,1727,2163
2560 Älvsbyn,649,828
2580 Luleå,2615,3531
2581 Piteå,1483,2078
2582 Boden,1341,2010
2583 Haparanda,846,908
2584 Kiruna,1947,2508
